	Placeholder=0
eta=1e-06	0.6825682520866394
eta=1.6378937069540647e-06	0.7335733771324158
eta=2.6826957952797274e-06	0.7788779139518738
eta=4.393970560760786e-06	0.8118811845779419
eta=7.196856730011514e-06	0.8328832983970642
eta=1.1787686347935867e-05	0.8424842357635498
eta=1.9306977288832496e-05	0.8592859506607056
eta=3.1622776601683795e-05	0.8622862100601196
eta=5.1794746792312125e-05	0.8619862198829651
eta=8.483428982440725e-05	0.8607860803604126
eta=0.00013894954943731373	0.8619862198829651
eta=0.00022758459260747887	0.8484848737716675
eta=0.0003727593720314938	0.8412841558456421
eta=0.0006105402296585327	0.8523852229118347
eta=0.001	0.845784604549408
