	Placeholder=0
eta=0.0001	0.8136813681368137
eta=0.00013894954943731373	0.8202820282028203
eta=0.00019306977288832496	0.8223822382238224
eta=0.00026826957952797245	0.8238823882388239
eta=0.0003727593720314938	0.8238823882388239
eta=0.0005179474679231213	0.8187818781878188
eta=0.0007196856730011522	0.8184818481848185
eta=0.001	0.8154815481548154
eta=0.0013894954943731374	0.8082808280828083
eta=0.0019306977288832496	0.8073807380738074
eta=0.0026826957952797246	0.8025802580258026
eta=0.003727593720314938	0.8061806180618062
eta=0.005179474679231213	0.8028802880288028
eta=0.007196856730011514	0.8028802880288028
eta=0.01	0.8001800180018002
