	Prediction	Target	Scores	Runtime
0	9	9	0.8656	113.97181390000014
1	2	2	0.8656	0.014430899999752
2	1	1	0.8656	113.97181390000014
3	1	1	0.8656	0.014430899999752
4	6	6	0.8656	113.97181390000014
5	1	1	0.8656	0.014430899999752
6	4	4	0.8656	113.97181390000014
7	6	6	0.8656	0.014430899999752
8	5	5	0.8656	113.97181390000014
9	7	7	0.8656	0.014430899999752
10	4	4	0.8656	113.97181390000014
11	5	5	0.8656	0.014430899999752
12	5	7	0.8656	113.97181390000014
13	3	3	0.8656	0.014430899999752
14	4	4	0.8656	113.97181390000014
15	1	1	0.8656	0.014430899999752
16	0	2	0.8656	113.97181390000014
17	4	4	0.8656	0.014430899999752
18	8	8	0.8656	113.97181390000014
19	0	0	0.8656	0.014430899999752
20	2	2	0.8656	113.97181390000014
21	5	5	0.8656	0.014430899999752
22	7	7	0.8656	113.97181390000014
23	5	9	0.8656	0.014430899999752
24	1	1	0.8656	113.97181390000014
25	2	4	0.8656	0.014430899999752
26	6	6	0.8656	113.97181390000014
27	0	0	0.8656	0.014430899999752
28	9	9	0.8656	113.97181390000014
29	3	3	0.8656	0.014430899999752
30	8	8	0.8656	113.97181390000014
31	8	8	0.8656	0.014430899999752
32	3	3	0.8656	113.97181390000014
33	3	3	0.8656	0.014430899999752
34	8	8	0.8656	113.97181390000014
35	0	0	0.8656	0.014430899999752
36	7	7	0.8656	113.97181390000014
37	5	5	0.8656	0.014430899999752
38	7	7	0.8656	113.97181390000014
39	9	9	0.8656	0.014430899999752
40	0	6	0.8656	113.97181390000014
41	1	1	0.8656	0.014430899999752
42	6	3	0.8656	113.97181390000014
43	7	7	0.8656	0.014430899999752
44	6	6	0.8656	113.97181390000014
45	7	7	0.8656	0.014430899999752
46	2	2	0.8656	113.97181390000014
47	1	1	0.8656	0.014430899999752
48	2	2	0.8656	113.97181390000014
49	6	2	0.8656	0.014430899999752
50	4	4	0.8656	113.97181390000014
51	4	4	0.8656	0.014430899999752
52	5	5	0.8656	113.97181390000014
53	8	8	0.8656	0.014430899999752
54	2	2	0.8656	113.97181390000014
55	2	2	0.8656	0.014430899999752
56	8	8	0.8656	113.97181390000014
57	4	4	0.8656	0.014430899999752
58	8	8	0.8656	113.97181390000014
59	0	0	0.8656	0.014430899999752
60	7	7	0.8656	113.97181390000014
61	7	7	0.8656	0.014430899999752
62	8	8	0.8656	113.97181390000014
63	5	5	0.8656	0.014430899999752
64	1	1	0.8656	113.97181390000014
65	1	1	0.8656	0.014430899999752
66	6	2	0.8656	113.97181390000014
67	3	3	0.8656	0.014430899999752
68	7	9	0.8656	113.97181390000014
69	8	8	0.8656	0.014430899999752
70	7	7	0.8656	113.97181390000014
71	0	0	0.8656	0.014430899999752
72	6	2	0.8656	113.97181390000014
73	6	6	0.8656	0.014430899999752
74	2	2	0.8656	113.97181390000014
75	3	3	0.8656	0.014430899999752
76	1	1	0.8656	113.97181390000014
77	2	2	0.8656	0.014430899999752
78	8	8	0.8656	113.97181390000014
79	4	4	0.8656	0.014430899999752
80	1	1	0.8656	113.97181390000014
81	8	8	0.8656	0.014430899999752
82	5	5	0.8656	113.97181390000014
83	9	9	0.8656	0.014430899999752
84	5	5	0.8656	113.97181390000014
85	0	0	0.8656	0.014430899999752
86	3	3	0.8656	113.97181390000014
87	2	2	0.8656	0.014430899999752
88	0	0	0.8656	113.97181390000014
89	2	6	0.8656	0.014430899999752
90	5	5	0.8656	113.97181390000014
91	3	3	0.8656	0.014430899999752
92	6	6	0.8656	113.97181390000014
93	7	7	0.8656	0.014430899999752
94	1	1	0.8656	113.97181390000014
95	8	8	0.8656	0.014430899999752
96	0	0	0.8656	113.97181390000014
97	1	1	0.8656	0.014430899999752
98	2	4	0.8656	113.97181390000014
99	2	2	0.8656	0.014430899999752
100	3	3	0.8656	113.97181390000014
101	6	6	0.8656	0.014430899999752
102	7	7	0.8656	113.97181390000014
103	2	2	0.8656	0.014430899999752
104	7	7	0.8656	113.97181390000014
105	8	8	0.8656	0.014430899999752
106	5	5	0.8656	113.97181390000014
107	7	9	0.8656	0.014430899999752
108	9	9	0.8656	113.97181390000014
109	4	4	0.8656	0.014430899999752
110	2	2	0.8656	113.97181390000014
111	5	5	0.8656	0.014430899999752
112	7	7	0.8656	113.97181390000014
113	0	0	0.8656	0.014430899999752
114	5	5	0.8656	113.97181390000014
115	2	2	0.8656	0.014430899999752
116	8	8	0.8656	113.97181390000014
117	6	6	0.8656	0.014430899999752
118	7	7	0.8656	113.97181390000014
119	8	8	0.8656	0.014430899999752
120	0	0	0.8656	113.97181390000014
121	0	0	0.8656	0.014430899999752
122	9	9	0.8656	113.97181390000014
123	9	9	0.8656	0.014430899999752
124	3	3	0.8656	113.97181390000014
125	0	0	0.8656	0.014430899999752
126	8	8	0.8656	113.97181390000014
127	2	4	0.8656	0.014430899999752
128	1	1	0.8656	113.97181390000014
129	5	5	0.8656	0.014430899999752
130	4	4	0.8656	113.97181390000014
131	1	1	0.8656	0.014430899999752
132	9	9	0.8656	113.97181390000014
133	1	1	0.8656	0.014430899999752
134	8	8	0.8656	113.97181390000014
135	6	6	0.8656	0.014430899999752
136	2	2	0.8656	113.97181390000014
137	1	1	0.8656	0.014430899999752
138	2	2	0.8656	113.97181390000014
139	5	5	0.8656	0.014430899999752
140	1	1	0.8656	113.97181390000014
141	6	0	0.8656	0.014430899999752
142	0	0	0.8656	113.97181390000014
143	0	0	0.8656	0.014430899999752
144	1	1	0.8656	113.97181390000014
145	6	6	0.8656	0.014430899999752
146	1	1	0.8656	113.97181390000014
147	3	6	0.8656	0.014430899999752
148	2	2	0.8656	113.97181390000014
149	2	2	0.8656	0.014430899999752
150	3	4	0.8656	113.97181390000014
151	2	4	0.8656	0.014430899999752
152	1	1	0.8656	113.97181390000014
153	3	4	0.8656	0.014430899999752
154	5	5	0.8656	113.97181390000014
155	0	0	0.8656	0.014430899999752
