	Prediction	Target	Scores	Runtime
0	9	9	0.8794000148773193	345.6298833000001
1	2	2	0.8794000148773193	0.7433101999995415
2	1	1	0.8794000148773193	345.6298833000001
3	1	1	0.8794000148773193	0.7433101999995415
4	6	6	0.8794000148773193	345.6298833000001
5	1	1	0.8794000148773193	0.7433101999995415
6	4	4	0.8794000148773193	345.6298833000001
7	6	6	0.8794000148773193	0.7433101999995415
8	5	5	0.8794000148773193	345.6298833000001
9	7	7	0.8794000148773193	0.7433101999995415
10	4	4	0.8794000148773193	345.6298833000001
11	5	5	0.8794000148773193	0.7433101999995415
12	7	7	0.8794000148773193	345.6298833000001
13	3	3	0.8794000148773193	0.7433101999995415
14	4	4	0.8794000148773193	345.6298833000001
15	1	1	0.8794000148773193	0.7433101999995415
16	2	2	0.8794000148773193	345.6298833000001
17	2	4	0.8794000148773193	0.7433101999995415
18	8	8	0.8794000148773193	345.6298833000001
19	0	0	0.8794000148773193	0.7433101999995415
20	2	2	0.8794000148773193	345.6298833000001
21	5	5	0.8794000148773193	0.7433101999995415
22	7	7	0.8794000148773193	345.6298833000001
23	5	9	0.8794000148773193	0.7433101999995415
24	1	1	0.8794000148773193	345.6298833000001
25	2	4	0.8794000148773193	0.7433101999995415
26	6	6	0.8794000148773193	345.6298833000001
27	0	0	0.8794000148773193	0.7433101999995415
28	9	9	0.8794000148773193	345.6298833000001
29	3	3	0.8794000148773193	0.7433101999995415
30	8	8	0.8794000148773193	345.6298833000001
31	8	8	0.8794000148773193	0.7433101999995415
32	3	3	0.8794000148773193	345.6298833000001
33	3	3	0.8794000148773193	0.7433101999995415
34	8	8	0.8794000148773193	345.6298833000001
35	0	0	0.8794000148773193	0.7433101999995415
36	7	7	0.8794000148773193	345.6298833000001
37	5	5	0.8794000148773193	0.7433101999995415
38	7	7	0.8794000148773193	345.6298833000001
39	9	9	0.8794000148773193	0.7433101999995415
40	0	6	0.8794000148773193	345.6298833000001
41	1	1	0.8794000148773193	0.7433101999995415
42	6	3	0.8794000148773193	345.6298833000001
43	7	7	0.8794000148773193	0.7433101999995415
44	6	6	0.8794000148773193	345.6298833000001
45	7	7	0.8794000148773193	0.7433101999995415
46	2	2	0.8794000148773193	345.6298833000001
47	1	1	0.8794000148773193	0.7433101999995415
48	2	2	0.8794000148773193	345.6298833000001
49	6	2	0.8794000148773193	0.7433101999995415
50	4	4	0.8794000148773193	345.6298833000001
51	2	4	0.8794000148773193	0.7433101999995415
52	5	5	0.8794000148773193	345.6298833000001
53	8	8	0.8794000148773193	0.7433101999995415
54	2	2	0.8794000148773193	345.6298833000001
55	2	2	0.8794000148773193	0.7433101999995415
56	8	8	0.8794000148773193	345.6298833000001
57	6	4	0.8794000148773193	0.7433101999995415
58	8	8	0.8794000148773193	345.6298833000001
59	0	0	0.8794000148773193	0.7433101999995415
60	7	7	0.8794000148773193	345.6298833000001
61	7	7	0.8794000148773193	0.7433101999995415
62	8	8	0.8794000148773193	345.6298833000001
63	5	5	0.8794000148773193	0.7433101999995415
64	1	1	0.8794000148773193	345.6298833000001
65	1	1	0.8794000148773193	0.7433101999995415
66	6	2	0.8794000148773193	345.6298833000001
67	4	3	0.8794000148773193	0.7433101999995415
68	7	9	0.8794000148773193	345.6298833000001
69	8	8	0.8794000148773193	0.7433101999995415
70	7	7	0.8794000148773193	345.6298833000001
71	0	0	0.8794000148773193	0.7433101999995415
72	2	2	0.8794000148773193	345.6298833000001
73	6	6	0.8794000148773193	0.7433101999995415
74	2	2	0.8794000148773193	345.6298833000001
75	3	3	0.8794000148773193	0.7433101999995415
76	1	1	0.8794000148773193	345.6298833000001
77	2	2	0.8794000148773193	0.7433101999995415
78	8	8	0.8794000148773193	345.6298833000001
79	4	4	0.8794000148773193	0.7433101999995415
80	1	1	0.8794000148773193	345.6298833000001
81	8	8	0.8794000148773193	0.7433101999995415
82	5	5	0.8794000148773193	345.6298833000001
83	9	9	0.8794000148773193	0.7433101999995415
84	5	5	0.8794000148773193	345.6298833000001
85	0	0	0.8794000148773193	0.7433101999995415
86	3	3	0.8794000148773193	345.6298833000001
87	2	2	0.8794000148773193	0.7433101999995415
88	0	0	0.8794000148773193	345.6298833000001
89	2	6	0.8794000148773193	0.7433101999995415
90	5	5	0.8794000148773193	345.6298833000001
91	3	3	0.8794000148773193	0.7433101999995415
92	6	6	0.8794000148773193	345.6298833000001
93	7	7	0.8794000148773193	0.7433101999995415
94	1	1	0.8794000148773193	345.6298833000001
95	8	8	0.8794000148773193	0.7433101999995415
96	0	0	0.8794000148773193	345.6298833000001
97	1	1	0.8794000148773193	0.7433101999995415
98	4	4	0.8794000148773193	345.6298833000001
99	2	2	0.8794000148773193	0.7433101999995415
100	3	3	0.8794000148773193	345.6298833000001
101	6	6	0.8794000148773193	0.7433101999995415
102	7	7	0.8794000148773193	345.6298833000001
103	2	2	0.8794000148773193	0.7433101999995415
104	7	7	0.8794000148773193	345.6298833000001
105	8	8	0.8794000148773193	0.7433101999995415
106	5	5	0.8794000148773193	345.6298833000001
107	5	9	0.8794000148773193	0.7433101999995415
108	9	9	0.8794000148773193	345.6298833000001
109	4	4	0.8794000148773193	0.7433101999995415
110	2	2	0.8794000148773193	345.6298833000001
111	5	5	0.8794000148773193	0.7433101999995415
112	7	7	0.8794000148773193	345.6298833000001
113	0	0	0.8794000148773193	0.7433101999995415
114	5	5	0.8794000148773193	345.6298833000001
115	2	2	0.8794000148773193	0.7433101999995415
116	8	8	0.8794000148773193	345.6298833000001
117	6	6	0.8794000148773193	0.7433101999995415
118	7	7	0.8794000148773193	345.6298833000001
119	8	8	0.8794000148773193	0.7433101999995415
120	0	0	0.8794000148773193	345.6298833000001
121	0	0	0.8794000148773193	0.7433101999995415
